N,P,K,temperature,humidity,ph,rainfall,label
109,9,55,28.081632,91.405078,6.595403,26.236259,muskmelon
81,10,51,25.338493,85.170665,6.443157,49.495374,watermelon
51,66,51,28.931637,92.049791,6.523585,134.921515,papaya
39,56,46,29.969612,92.288464,6.518142,155.636364,papaya
23,140,198,22.986418,92.653631,6.01821,106.302466,apple
11,25,32,29.445842,50.324349,5.818544,83.328396,mango
12,132,196,22.667608,91.065372,5.856166,100.385379,apple
12,38,17,29.949079,52.718266,6.823994,63.63279,mothbeans
10,43,22,28.741041,86.485847,6.328679,45.439698,mungbean
23,71,20,22.811518,63.460464,6.551274,52.676356,lentil
60,58,24,27.953929,65.05702,6.552721,71.507244,blackgram
33,28,27,27.492949,96.963576,5.905066,203.982163,coconut
31,15,35,21.075212,85.138482,5.837737,102.086519,pomegranate
82,49,37,25.784031,84.63244,6.638682,182.806852,jute
23,16,26,26.564229,94.221353,5.895564,174.46056,coconut
1,19,40,23.102776,90.676157,6.09735,101.964413,pomegranate
10,128,200,22.294111,91.296859,5.762396,124.4474,apple
86,36,22,24.527021,57.202341,6.359699,82.588384,maize
43,51,51,25.874792,92.445855,6.259437,165.936181,papaya
90,16,50,28.511399,92.91254,6.543124,23.718601,muskmelon
86,25,25,25.642863,57.475367,7.020567,190.410642,coffee
53,53,52,30.802893,92.112285,6.358615,52.49755,papaya
15,26,6,27.3377,90.761548,7.356038,111.173629,orange
34,46,45,31.59174,92.014926,6.352513,108.694845,papaya
54,73,79,17.736977,16.921384,7.290948,79.385738,chickpea
92,36,40,24.819636,83.506469,6.676885,192.240283,jute
21,54,17,28.203869,83.290311,6.674929,61.699491,mungbean
24,8,6,20.380285,91.586511,7.003168,102.805344,orange
34,67,25,33.023751,45.119649,5.20081,176.162778,pigeonpeas
62,48,41,23.429958,83.79261,6.259169,275.432077,rice
8,12,37,21.850014,87.654212,5.99044,100.05349,pomegranate
4,45,24,27.302278,50.505034,5.963231,63.575392,mothbeans
72,58,37,26.134038,79.620258,6.775058,182.726113,jute
39,60,22,24.839105,63.444802,6.243154,55.702141,lentil
69,56,42,25.95194,80.4327,7.204515,186.588601,jute
53,78,21,30.4126,63.884309,6.783979,73.362913,blackgram
96,59,44,24.029955,81.363676,6.463963,197.447007,jute
54,63,84,18.639539,17.427835,6.633388,77.416995,chickpea
24,65,84,20.024101,17.30174,7.11398,86.276682,chickpea
47,68,17,19.449016,20.683811,5.799887,118.365434,kidneybeans
42,68,49,26.862331,91.885387,6.552942,163.604228,papaya
20,36,31,30.799358,52.497562,6.36285,80.154921,mango
25,70,22,32.115147,59.684253,6.812722,71.282066,blackgram
66,53,17,23.442245,60.876621,6.537437,101.993065,maize
3,40,25,29.606668,83.98118,6.077421,64.411413,mungbean
61,38,19,20.628144,57.9448,6.559262,70.83699,maize
23,73,18,28.817889,51.973786,6.175203,135.94337,pigeonpeas
7,6,29,27.934924,95.030567,6.24201,229.140186,coconut
107,15,51,28.436815,93.243026,6.502492,28.14792,muskmelon
65,44,20,24.412462,61.188763,5.797674,83.959094,maize
48,60,22,31.150786,66.601668,7.121099,69.022604,blackgram
97,17,32,26.05184,60.452295,6.743544,180.770284,coffee
29,121,198,20.542842,82.349867,6.099779,71.81833,grapes
5,55,19,28.29743,85.959064,6.227438,48.024926,mungbean
94,40,25,25.0073,59.349439,6.700813,177.304566,coffee
50,62,19,19.370921,21.895756,5.715534,124.264745,kidneybeans
115,40,21,24.80079,82.810803,5.854612,106.000042,cotton
30,143,195,23.10954,92.989976,5.730831,105.760549,apple
97,83,49,26.37038,82.104803,5.865306,92.870703,banana
26,70,21,32.417661,65.686823,6.921457,69.009703,blackgram
83,12,50,25.455968,84.269139,6.304823,42.915768,watermelon
31,8,29,26.828048,94.862724,6.105308,216.88708,coconut
29,61,15,23.917002,65.765714,6.555516,44.426249,lentil
25,19,11,21.090589,91.376301,7.304813,116.792588,orange
64,53,49,34.506618,91.793436,6.794195,194.462193,papaya
39,67,18,33.812231,48.375006,6.12378,107.734069,pigeonpeas
12,12,7,30.917409,92.190478,6.734167,102.965651,orange
81,53,43,24.234381,83.392605,6.317528,182.173222,rice
82,13,52,28.700312,93.856137,6.248739,24.029728,muskmelon
22,66,19,28.72722,45.94142,5.670258,134.352853,pigeonpeas
97,12,49,28.569069,92.38232,6.506634,20.445566,muskmelon
25,27,27,27.525419,95.716567,6.161422,183.720818,coconut
92,54,43,24.71765,76.983253,6.597446,151.80924,jute
109,72,49,26.813518,77.970964,6.010326,117.698985,banana
25,70,19,30.820317,64.188295,6.919606,68.372125,blackgram
61,47,52,27.03504,93.710906,6.428094,189.3603,papaya
100,81,47,28.019466,81.938238,6.137259,90.286169,banana
106,54,16,24.47014,83.383189,6.402801,79.828186,cotton
117,20,52,23.998998,87.083866,6.265944,45.065012,watermelon
30,10,10,17.970305,92.9125,7.648085,104.387361,orange
104,38,28,26.02157,63.572827,6.56166,196.682877,coffee
26,60,78,19.999795,16.745123,6.665412,69.602119,chickpea
93,41,44,23.638055,83.02527,6.123347,281.574275,rice
13,56,22,30.649782,54.636363,7.771826,62.330322,mothbeans
27,20,8,16.78152,93.408518,6.697964,106.375967,orange
32,20,32,32.765241,47.83552,5.845542,88.423565,mango
113,18,31,25.316195,62.530745,6.529151,199.858141,coffee
8,44,24,30.000375,52.29915,7.517205,62.748424,mothbeans
27,60,22,30.113743,63.979999,6.946687,69.965154,blackgram
11,7,42,21.745126,90.001267,5.857775,101.230521,pomegranate
88,35,25,21.143777,57.901586,6.378448,71.877207,maize
16,50,23,27.815969,50.772465,6.463816,63.641415,mothbeans
132,38,22,25.57446,81.803071,5.676038,64.37398,cotton
42,48,50,34.156076,92.373807,5.974716,70.295636,papaya
34,59,25,25.481045,52.393275,6.315673,134.02335,pigeonpeas
36,45,20,28.56179,59.304485,6.547404,48.424473,mothbeans
21,72,23,20.03502,19.534313,5.8138,113.050859,kidneybeans
96,29,28,24.249778,63.596179,6.690681,165.028855,coffee
39,66,24,32.000453,66.115602,6.670541,73.026974,blackgram
22,78,25,23.102896,66.105014,6.287212,52.593872,lentil
22,27,29,27.477049,95.563902,6.081502,166.333378,coconut
91,52,43,24.379315,82.504422,5.886372,221.04981,rice
25,5,14,24.329424,92.981494,7.197539,103.395539,orange
104,10,54,28.721117,91.676109,6.660934,28.211236,muskmelon
88,16,47,26.617113,84.420029,6.401902,42.808833,watermelon
54,79,24,22.754215,21.47713,6.040259,68.286029,kidneybeans
81,12,55,24.810038,85.326875,6.799914,44.951716,watermelon
101,86,55,27.591092,79.638197,6.083589,110.623944,banana
36,63,16,28.266599,46.068332,5.786356,129.013283,pigeonpeas
40,35,18,27.175029,58.560349,6.315605,45.611288,mothbeans
96,74,53,27.778396,82.057729,5.772192,118.677564,banana
100,44,36,24.241019,81.582122,6.902568,168.428835,jute
134,45,19,24.539182,80.27127,6.4222,93.536287,cotton
9,18,40,22.341897,90.513713,6.274316,103.811469,pomegranate
29,64,17,26.686202,43.747259,6.289182,190.80626,pigeonpeas
34,56,82,18.405898,17.196328,6.775434,83.688862,chickpea
97,44,23,19.96385,62.228546,5.509379,103.166682,maize
30,17,32,27.928086,91.345221,5.888659,210.590565,coconut
22,8,43,20.188226,91.079981,6.897968,101.281881,pomegranate
92,40,42,24.240863,83.543892,5.890472,248.386762,rice
24,78,17,27.196742,39.870337,5.987463,196.232193,pigeonpeas
14,135,202,25.041865,82.739376,6.227759,69.69303,grapes
57,72,25,31.540714,63.40706,6.580828,67.972141,blackgram
16,7,25,27.746477,94.359897,5.802829,136.525519,coconut
55,75,77,18.690698,17.456896,7.398912,65.354591,chickpea
56,73,23,31.179435,64.103391,7.057208,69.003299,blackgram
21,23,30,27.79463,94.549517,5.784789,219.105062,coconut
66,60,17,22.78441,62.520698,6.517874,84.293588,maize
103,88,53,27.294203,80.425433,5.884645,112.209391,banana
35,35,15,25.733334,60.424342,5.735668,39.042882,mothbeans
105,74,46,27.616095,81.353148,5.993081,116.343456,banana
21,58,24,18.966567,21.367268,5.774383,81.781987,kidneybeans
37,19,38,25.145666,87.365701,6.549689,100.961259,pomegranate
50,63,85,18.446352,16.347576,7.217921,68.984344,chickpea
32,13,31,27.712549,92.194796,5.832603,132.50251,coconut
13,8,6,21.191738,92.275818,6.522086,101.981129,orange
22,69,18,25.813282,47.99808,6.378339,162.205056,pigeonpeas
119,71,45,28.260458,79.702405,5.881733,114.846383,banana
91,72,49,28.084614,79.517277,5.944303,105.889336,banana
12,124,200,23.349223,92.226611,5.736893,122.002667,apple
34,76,21,19.406392,19.776716,5.833102,100.522882,kidneybeans
94,10,48,28.564681,91.927001,6.67568,26.086875,muskmelon
29,51,25,28.677256,82.421983,6.414463,57.19423,mungbean
17,41,18,27.242431,50.348105,5.193557,32.572536,mothbeans
28,23,30,27.117751,94.453844,6.032642,156.5149,coconut
67,48,16,21.517351,61.471044,6.312085,72.838828,maize
29,134,198,22.218127,93.129147,5.994909,111.595743,apple
18,16,32,28.655182,93.268786,6.200476,170.51821,coconut
33,55,20,20.835352,22.24814,5.607913,82.353863,kidneybeans
11,52,24,30.908392,51.237892,8.646019,27.413566,mothbeans
17,45,24,28.892108,85.534054,6.175576,64.168356,mungbean
22,56,23,27.633293,64.096678,6.264456,52.272494,lentil
94,11,49,26.227938,86.602397,6.629347,49.664093,watermelon
35,44,22,28.10161,83.523269,6.830158,46.669864,mungbean
35,71,17,26.435379,62.713285,5.492302,196.8266,pigeonpeas
32,70,24,27.243961,47.221209,5.957375,170.120794,pigeonpeas
39,74,21,21.857457,55.011367,5.180195,133.467083,pigeonpeas
31,77,21,21.011344,20.999284,5.832848,84.066183,kidneybeans
74,42,24,25.394513,61.317525,6.15935,72.174115,maize
82,35,42,25.005459,84.495731,6.859712,164.676398,jute
48,76,81,18.862181,17.329054,7.232737,67.325535,chickpea
4,130,196,22.397276,92.216827,6.023881,109.91522,apple
31,28,12,20.628115,92.688902,6.978683,107.012986,orange
110,41,16,25.152636,81.036863,6.29412,80.379917,cotton
91,41,39,22.043504,82.056613,6.302901,254.90856,rice
5,5,29,26.917211,94.903587,6.15324,185.770476,coconut
2,123,200,22.065833,80.878462,6.138358,73.46783,grapes
14,62,17,25.017377,64.572539,6.28809,53.188372,lentil
89,18,50,24.977884,85.620937,6.326048,47.535039,watermelon
33,128,199,27.056698,82.194946,5.949716,67.317903,grapes
7,129,200,24.986383,83.085124,5.79587,72.161739,grapes
53,58,24,27.409655,63.006505,6.975881,70.785639,blackgram
29,12,45,19.874327,90.890133,6.338716,109.447501,pomegranate
29,70,77,19.488811,17.202575,7.138614,99.003644,chickpea
14,22,27,27.433941,94.967254,5.886683,154.413682,coconut
87,44,17,21.938763,62.475666,6.664571,94.757228,maize
15,63,24,25.013619,64.563549,6.721311,41.087385,lentil
37,128,197,28.324449,82.663106,6.025015,74.814157,grapes
105,10,53,25.926607,85.953427,6.606656,45.874152,watermelon
98,54,41,25.040575,85.305535,6.995945,198.514687,jute
100,20,27,26.222281,57.78693,6.991188,189.72206,coffee
116,24,31,27.558513,60.258688,6.80308,195.223188,coffee
36,76,22,20.781928,20.917662,5.865342,114.605855,kidneybeans
64,54,40,24.966995,81.65006,7.07989,150.324404,jute
31,38,19,26.394322,52.162197,7.825104,39.08138,mothbeans
37,74,21,18.020171,22.433799,5.648108,78.236937,kidneybeans
80,73,54,25.897945,80.469543,5.805836,92.012812,banana
59,58,19,22.571057,21.466682,5.679207,142.868995,kidneybeans
33,20,34,28.270475,94.379572,6.059406,131.84659,coconut
67,50,48,32.660353,93.339006,6.561765,52.397966,papaya
49,69,54,35.989467,91.829837,6.318697,160.062228,papaya
40,57,22,28.68393,85.121188,6.600908,61.04055,mungbean
26,16,33,32.60026,51.661897,5.332611,75.432135,mango
37,12,36,21.005767,90.740662,6.268028,106.247007,pomegranate
87,19,55,25.403513,82.780681,6.580982,48.686282,watermelon
35,74,25,21.655431,21.351153,5.73545,120.55845,kidneybeans
86,52,21,20.280124,62.823385,6.172633,90.354702,maize
4,120,203,23.51106,92.069989,6.041999,114.057063,apple
59,76,21,27.664847,65.232462,6.183665,66.667873,blackgram
48,58,81,19.393886,15.547339,6.910889,65.054779,chickpea
12,130,194,26.487435,82.621701,5.763245,66.025345,grapes
39,124,202,26.112392,82.986664,6.059193,71.007398,grapes
82,88,50,28.339938,81.864622,6.271388,98.057388,banana
124,50,17,23.804168,81.129116,6.655171,97.304673,cotton
82,36,45,23.633572,81.791835,6.216741,226.066947,rice
19,18,44,21.196214,91.813339,5.933475,104.245726,pomegranate
1,44,23,30.107549,87.814578,6.350476,44.806448,mungbean
80,92,51,27.110998,78.628668,5.834535,116.455644,banana
92,46,37,25.290317,83.327629,6.87522,160.097043,jute
9,39,23,28.62387,87.198391,6.415419,64.372607,mungbean
62,54,24,20.147115,61.409479,6.269974,100.649287,maize
55,77,80,18.592503,15.926983,6.681609,87.263362,chickpea
33,66,82,19.009939,15.629852,6.683306,67.482628,chickpea
22,58,76,19.12488,17.912974,6.53788,76.860123,chickpea
9,139,202,22.372676,90.920234,5.941519,120.805645,apple
64,52,44,23.830634,83.301524,6.688657,196.712649,rice
48,57,23,19.625764,22.633385,5.549021,68.336293,kidneybeans
59,57,46,28.823339,93.592123,6.640143,72.03535,papaya
92,25,29,25.030714,62.281789,6.716939,171.34832,coffee
46,69,21,30.076395,64.604447,6.888067,68.37477,blackgram
56,80,19,21.91165,19.918236,5.853851,79.296583,kidneybeans
16,26,30,32.644154,50.865402,6.298856,81.952214,mango
19,18,26,30.704442,50.234149,5.467963,90.630379,mango
15,30,25,27.263628,97.02458,5.82903,203.056008,coconut
31,67,55,30.98085,91.960143,6.404066,64.117185,papaya
12,142,197,22.589543,92.660422,6.103713,103.569621,apple
58,58,83,20.357456,15.980172,7.665699,85.021703,chickpea
16,18,36,20.731092,90.566639,6.475469,102.335804,pomegranate
44,57,82,18.985541,18.330286,7.563054,69.305115,chickpea
94,14,51,28.241064,91.880367,6.628832,27.272925,muskmelon
23,140,198,21.739028,93.469401,5.862234,115.003098,apple
98,13,51,28.849088,93.468223,6.574295,23.811093,muskmelon
108,16,46,28.356057,91.028777,6.447873,21.642411,muskmelon
8,32,26,33.252926,50.056074,5.476196,90.688554,mango
21,26,25,34.6415,50.754761,5.398166,67.347263,mango
130,39,15,26.386512,81.21732,6.349882,105.386267,cotton
22,24,30,30.348585,95.62239,6.110581,140.558271,coconut
3,16,35,21.70727,86.858863,6.300527,107.416378,pomegranate
70,42,35,23.734227,83.235657,6.399905,269.713126,rice
115,5,54,27.654857,92.307321,6.360773,26.787132,muskmelon
90,22,28,24.176726,58.076552,6.538588,161.708434,coffee
49,58,47,25.57355,93.531235,6.433858,183.076487,papaya
16,36,20,26.882264,45.200705,6.899778,38.42226,mothbeans
89,55,24,24.480649,59.710562,6.205001,89.723817,maize
7,18,31,28.204872,50.064644,5.394044,71.240737,mango
106,13,50,28.001924,92.920562,6.629528,23.428921,muskmelon
37,63,18,25.128369,53.060495,5.720716,170.4635,pigeonpeas
4,59,19,29.336713,83.829352,6.410039,48.01834,mungbean
82,15,33,24.040846,53.136864,7.080957,190.071519,coffee
33,129,195,26.245887,82.661181,6.055424,72.839253,grapes
39,13,34,26.298274,92.184034,6.171604,141.339833,coconut
115,44,22,23.984139,81.940775,6.170337,106.930016,cotton
38,77,24,29.478146,51.295992,5.277981,97.711895,pigeonpeas
99,50,38,22.840854,81.994527,6.746448,285.211876,rice
1,136,203,22.422505,94.220513,6.06849,115.36025,apple
6,13,40,21.948049,91.04471,6.017189,108.545687,pomegranate
87,40,29,25.302738,59.553579,6.789316,180.560433,coffee
39,59,77,18.618192,17.440925,7.299145,68.780901,chickpea
138,52,21,24.880636,81.109512,6.433996,68.348694,cotton
75,37,38,24.765289,77.428434,6.774858,197.950422,jute
0,33,30,28.694795,50.499439,5.571242,71.049656,mango
113,80,50,28.598518,79.381948,6.064553,104.122872,banana
58,56,50,33.316767,91.559475,6.506249,52.762148,papaya
10,128,199,21.721912,92.248558,6.224298,103.028464,apple
38,70,78,18.627031,18.388625,7.167954,86.597328,chickpea
64,54,36,22.444231,80.780248,5.818005,247.815982,rice
37,78,15,28.119529,45.206695,6.147735,135.448977,pigeonpeas
3,53,23,28.679175,55.906076,5.516887,29.743062,mothbeans
30,48,17,28.790959,85.326686,6.368044,54.230162,mungbean
93,51,44,25.330883,80.305152,6.59025,169.514455,jute
30,15,40,21.23205,90.901658,6.443794,103.54424,pomegranate
1,125,196,27.216099,83.012147,5.886443,70.569521,grapes
1,58,16,28.105555,57.047428,7.146948,39.922758,mothbeans
87,36,43,25.113471,78.473783,6.542965,195.419127,jute
73,57,24,21.304675,59.241633,5.845289,69.788899,maize
16,27,27,27.61264,89.431598,6.05124,136.197504,coconut
64,37,24,22.951559,57.544731,5.930822,64.785728,maize
39,70,77,18.81654,18.151277,7.451454,66.530868,chickpea
116,75,46,26.429418,82.256961,5.888656,95.184602,banana
82,56,42,23.861589,83.641766,6.200512,269.273555,rice
26,21,26,27.441092,94.493061,6.149098,223.072579,coconut
68,47,36,24.503739,78.801273,6.994496,150.864699,jute
0,19,31,29.953039,51.223586,6.589218,85.220041,mango
95,5,48,29.148669,91.197002,6.43515,28.997596,muskmelon
28,131,202,22.606768,93.239271,6.085636,110.280684,apple
85,74,50,26.365434,78.405568,6.067563,109.446275,banana
30,67,15,26.020291,42.623199,5.949113,131.080374,pigeonpeas
56,72,19,29.020063,63.230936,6.755039,73.364397,blackgram
